Facility_ID,Street_No,Street_Name,Street_Type,Street_Direction,Postal_Code,Prov_Terr,City,Facility_Type_ID
1,-1,,,,,ON,Brantford,FT1
2,221,queen,st,s,,ON,Kitchener,FT2
3,140,lakefront,promenade,,L5E 3G9,ON,Mississauga,FT1
4,140,lakefront,promenade,,L5E 3G9,ON,Mississauga,FT2
5,333,carwood,ave,,,ON,Kitchener,FT2
6,11,chopin,dr,,,ON,Kitchener,FT1
7,-1,,,,,ON,Markham,FT3
8,-1,,,,,ON,Fort Erie,FT1
9,68,lilac,ave,,M9C 2Y2,ON,Toronto,FT1
10,135,lennox lewis,way,,,ON,Kitchener,FT4
11,-1,,,,,ON,Hamilton,FT3
12,79,lawlor,ave,,M4E 3L8,ON,Toronto,FT5
13,128,cedargrove,road,,,ON,Caledon,FT1
14,128,cedargrove,road,,,ON,Caledon,FT2
15,2,rozell,rd,,M1C 2L1,ON,Toronto,FT1
16,2,rozell,rd,,M1C 2L1,ON,Toronto,FT2
17,2,rozell,rd,,M1C 2L1,ON,Toronto,FT6
18,-1,,,,,ON,Brampton,FT1
19,93,roxborough,ave,,,ON,Kitchener,FT1
20,185,king,st,s,,ON,Waterloo,FT3
21,31,glen watford,dr,,M1S 2B7,ON,Toronto,FT2
22,31,glen watford,dr,,M1S 2B7,ON,Toronto,FT7
23,27,glen watford,dr,,,ON,Toronto,FT7
24,75,centennial,rd,,L1S 4S4,ON,Ajax,FT3
25,11,alamosa,dr,,M2J 2N6,ON,Toronto,FT1
26,-1,namao,rd,,,ON,Brampton,FT1
27,1550,sandhurst,circle,,M1V 1S6,ON,Toronto,FT2
28,150,borough,dr,,,ON,Toronto,FT7
29,14,fuller,ave,,M6R 2C3,ON,Toronto,FT1
30,14,fuller,ave,,M6R 2C3,ON,Toronto,FT2
31,3811,teeswater,rd,,L4T 2A5,ON,Mississauga,FT1
32,-1,,,,,ON,Fort Erie,FT1
33,1501,albion,rd,,,ON,Toronto,FT7
34,150,queen,st,s,L7E 1E3,ON,Caledon,FT3
35,23,deanlea,ct,,M9C 2Y2,ON,Toronto,FT1
36,1560,heatherington,rd,,K1V 0E5,ON,Ottawa,FT3
37,16500,50,hwy,,,ON,Caledon,FT1
38,16500,50,hwy,,,ON,Caledon,FT6
39,1485,albion,rd,,M9V 1B2,ON,Toronto,FT2
40,275,alder,st,,,ON,Orangeville,FT3
41,1454,nottinghill,gate,,,ON,Oakville,FT1
42,494,townsend,ave,,,ON,Burlington,FT4
43,50,fairwood,pl,,,ON,Burlington,FT2
44,2,orianna,dr,,M8W 4Y1,ON,Toronto,FT2
45,779,crawford,st,,M6G 3K4,ON,Toronto,FT2
46,33,alexander,st,,M8V 2K7,ON,Toronto,FT1
47,275,bathurst,st,,M5T 2S4,ON,Toronto,FT2
48,275,bathurst,st,,M5T 2S4,ON,Toronto,FT7
49,-1,,,,,ON,Waterloo,FT1
50,53,water,st,n,,ON,Kitchener,FT2
51,-1,,,,,ON,Greater Sudbury / Grand Sudbury,FT7
52,1373,white oaks,blvd,,,ON,Oakville,FT1
53,4105,colonial,dr,,L5L 4E8,ON,Mississauga,FT1
54,1155,king,st,w,M6K 1E9,ON,Toronto,FT8
55,4361,central,avenue,,L0R 1B0,ON,Lincoln,FT2
56,19,horticulural,ave,,M5A 2P2,ON,Toronto,FT1
57,-1,,,,,ON,Barrie,FT3
58,51,piano,drive,,,ON,Hamilton,FT6
59,575,willowbank,tr,,,ON,Mississauga,FT1
60,1248,mayfield,rd,,L7C 0Y7,ON,Caledon,FT1
61,-1,,,,,ON,Brampton,FT1
62,-1,,,,,ON,Brampton,FT1
63,175,kingswood,dr,,,ON,Kitchener,FT1
64,75,lucerne,dr,,,ON,Kitchener,FT1
65,35,station,st,,L7K 0E2,ON,Caledon,FT3
